City,State,State2,Country,Country2,Latitude,Longitude,Name,Price Per Guest,numberOfGuests,Price,roomType,Ratings
Candolim, Goa,Goa, India,India,15.51987,73.76753,Serene Garden 3Bed,53,8,421,Entire villa,0
Nainital, Uttarakhand,Uttarakhand, India,India,29.38566,79.45323,Emily Heritage villa Nainital,35,12,421,Entire cottage,0
Kanatal, Uttarakhand,Uttarakhand, India,India,30.42662,78.32913,Avalon 5 Bedroom Cottage | Mountain View,46,10,463,Entire chalet,4.66
Sangolda, Goa,Goa, India,India,15.54542,73.8132,Casa Da Rosa by Hireavilla - 4BR w Private pool,49,10,488,Entire villa,4.87
Alibag, Maharashtra,Maharashtra, India,India,18.72961,72.88579,Kapadia Bunglow,48,10,481,Entire bungalow,4.9
Gokarna, Karnataka,Karnataka, India,India,14.54024,74.33685,Kahani Paradise by Hireavilla- 6BR Overlooking Sea,157,3,472,Entire villa,0
Candolim, Goa,Goa, India,India,15.52701,73.76575,Premium 8BR villa w private pool nr candolim beach,30,16,474,Entire villa,4.67
Anjuna, Goa,Goa, India,India,15.58452,73.74153,Serene Seven Frangipanni Villas Anjuna,37,12,443,Entire home,5
Mandrem, Goa,Goa, India,India,15.672,73.716,The Mandrem House - 5BHK Luxury Villa with a pool,31,14,440,Entire villa,4.79
Satirje, Maharashtra,Maharashtra, India,India,18.73987,72.89868,Baan Thai - 4 Bedroom Luxurious Villa in Alibag,58,8,464,Entire villa,4.7
Gurugram, Haryana,Haryana, India,India,28.2908,76.93421,SimBliss Farmhouse with Pool near Delhi & Gurgaon,39,12,472,Farm stay,4.71
Reis Magos, Goa,Goa, India,India,15.49548,73.80428,BayView 4BR Petfriendly villa Pvtpool,58,8,464,Entire villa,4.72
Karjat, Maharashtra,Maharashtra, India,India,18.92626,73.32085,JenJon Karjat Resort - Casa Rosa,49,8,394,Entire villa,0
Haripur, Himachal Pradesh,Himachal Pradesh, India,India,32.14635,77.15806,StayVista at Hilltop Haven - 6BR✦Breakfast✦Bonfire,29,15,433,Entire villa,0
Alappuzha, Kerala,Kerala, India,India,9.50274,76.35192,Angel Boat House 4 Bedroom,53,8,421,Houseboat,0
New Delhi, Delhi,Delhi, India,India,28.44201,77.20986,The Tree House,235,2,469,Treehouse,0
Udaipur, Rajasthan,Rajasthan, India,India,24.5685,73.63485,Beautiful Room in Bujera Fort 15 minutes from City,140,3,421,Private room in villa,0
Bini, Himachal Pradesh,Himachal Pradesh, India,India,31.64675,77.34611,The Blue Sheep Tirthan,211,2,421,Room in hotel,0
Jojawar, Rajasthan,Rajasthan, India,India,25.52926,73.75535,"1BR Luxury Suite Kesarbagh w/Balcony 01 , Jojawar",136,3,409,Room in boutique hotel,5
Udaipur, Rajasthan,Rajasthan, India,India,24.48927,73.58372,Beautiful suite in Bujera viewing the city palace,140,3,421,Private room in villa,0
Mukhteshwar, Uttarakhand,Uttarakhand, India,India,29.46127,79.65691,The Orchard at Peora Estates | Royal Suite,196,2,391,Private room in bungalow,0
Chaukariya, Rajasthan,Rajasthan, India,India,24.5219,73.61982,Three Bedroom Villa with Pool in Udaipur,39,10,394,Farm stay,0
Kumarakom, Kerala,Kerala, India,India,9.634,76.41762,"Luxury Pool Villa, Coconut Lagoon - CGH Earth",220,2,439,Room in resort,0
Candolim, Goa,Goa, India,India,15.51548,73.77375,The Marine Beach Villa,36,12,433,Entire villa,0
Jaipur, Rajasthan,Rajasthan, India,India,26.99922,75.80218,ORGANIC FARM STAY with clay oven in Jaipur,42,10,421,Farm stay,0
Nawanpind Sardaran, Punjab,Punjab, India,India,31.981,75.399,"The Kothi, village stay, Punjab, India (VILLA)",35,12,421,Farm stay,4.75
Kodaikanal, Tamil Nadu,Tamil Nadu, India,India,10.24664,77.47499,SUNRISEONHILLS will be a perfect place to unwind.,26,16,421,Private room in villa,0
Maravanthe, Karnataka,Karnataka, India,India,13.725,74.63905,Kundapura Beach stay: AC Sun Cottage,211,2,421,Private room in cottage,0
Lonavla, Maharashtra,Maharashtra, India,India,18.76322,73.44223,3BHK Pool Villa 36 by The Rentalgram,15,10,150,Entire villa,4.7
Nedumudy, Kerala,Kerala, India,India,9.41887,76.40641,"4BR Riverside Hideaway w/ 2 Pvt Pools, Alleppey",54,8,433,Private room in nature lodge,0
Udupi, Karnataka,Karnataka, India,India,13.37779,74.69766,Udupi Beach House: Seascape,15,10,149,Private room in bungalow,4.83
Jaipur, Rajasthan,Rajasthan, India,India,26.92392,75.80481,Alsisar Haveli - A Heritage Home,66,2,132,Entire serviced apartment,4.93
Penha de França, Goa,Goa, India,India,15.52005,73.81814,Luxury Service Apartments w/Pool in North Goa,11,12,130,Room in serviced apartment,4.71
Jaipur, Rajasthan,Rajasthan, India,India,26.90123,75.82154,Royal Suite !,66,2,131,Room in heritage hotel,4.76
Vagator, Goa,Goa, India,India,15.6041,73.75412,5 Star Luxe Villa North Goa with Olympic size Pool,15,10,150,Entire villa,4.94
Candolim, Goa,Goa, India,India,15.51,73.774,Serenidad - 3BHK penthouse with private terrace!,19,8,148,Entire serviced apartment,4.68
Lonavla, Maharashtra,Maharashtra, India,India,18.77964,73.38772,The Most Luxurious Villa With Private Swimming,8,16,133,Entire villa,3.83
Marsur, Karnataka,Karnataka, India,India,12.763,77.69897,"Cedar House Farm Stay, 20 mins from Koramangala",11,12,135,Farm stay,4.86
Lonavala, Maharashtra,Maharashtra, India,India,18.76309,73.40182,Elegant Villa: Luxury 4BHK by Limestays,8,16,133,Entire villa,4.57
Assagao, Goa,Goa, India,India,15.59958,73.77469,Indo - Portuguese Villa in Assagao,21,7,147,Entire villa,4.55
Siolim, Goa,Goa, India,India,15.62359,73.76828,Riviera Sublime 3BHK Villa,14,10,137,Entire villa,4.78
